DiaChi,Quan,TinhTrangBDS,DienTich,Phongngu,PhongTam,Loai,GiayTo,TinhTrangNoiThat,Gia,USD,log_price
"Nguyễn Văn Linh, Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh",16,2,50.0,2.0,2.0,1,3,3,1380000000.0,57500.0,10.959540226785442
"Đường Liên Phường, Phường Phú Hữu, Quận 9, Tp Hồ Chí Minh",9,1,50.0,2.0,1.0,1,1,1,1500000000.0,62500.0,11.042921835724492
"102, 102 Đường Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh",12,1,53.0,2.0,2.0,1,1,2,1300000000.0,54167.0,10.899827145911038
"Số 383, Số 383 Đường Nguyễn Duy Trinh, Phường Bình Trưng Tây, Quận 2, Tp Hồ Chí Minh",2,1,45.0,1.0,1.0,4,2,3,1900000000.0,79167.0,11.279314824306176
"Đường Đỗ Xuân Hợp, Phường Phước Long B, Quận 9, Tp Hồ Chí Minh",9,1,54.0,1.0,1.0,1,1,2,1750000000.0,72917.0,11.197077086969871
"Đường Tân Thới Nhất 8, Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh",12,1,55.79,2.0,1.0,1,2,2,1150000000.0,47917.0,10.77722562648903
"đường Nguyễn Văn Linh, Phường 7, Quận 8, Tp Hồ Chí Minh",8,1,58.0,2.0,1.0,1,2,1,1920000000.0,80000.0,11.289781913656018
"Đường Phạm Văn Bạch, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh",17,1,45.0,1.0,1.0,1,2,3,900000000.0,37500.0,10.532096211958502
"Đường Phan Huy Ích, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh",17,1,40.0,1.0,1.0,2,1,2,950000000.0,39583.0,10.58615501214069
"Đường Hương Lộ 2, Phường Bình Trị Đông A, Quận Bình Tân, Tp Hồ Chí Minh",13,1,70.0,2.0,2.0,1,2,1,1900000000.0,79167.0,11.279314824306176
"Đường Đỗ Xuân Hợp, Phường Phước Long B, Quận 9, Tp Hồ Chí Minh",9,1,54.0,1.0,1.0,1,1,2,1750000000.0,72917.0,11.197077086969871
"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh",9,1,61.0,2.0,1.0,1,1,2,1390000000.0,57917.0,10.96676623013805
"415 lô D chung cư nhiêu lộc C, Võ Công Tồn, Phường Tân Quý, Quận Tân Phú, Tp Hồ Chí Minh",19,1,71.0,2.0,1.0,1,1,1,1850000000.0,77083.0,11.252638042372888
"48A, Đường Dương Thị Mười, Phường Tân Chánh Hiệp, Quận 12, Tp Hồ Chí Minh",12,1,68.0,2.0,2.0,1,1,1,1900000000.0,79167.0,11.279314824306176
"Lô 5, Lô 5 Khu đô thị Vĩnh Lộc, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",13,1,63.0,2.0,2.0,1,2,1,1650000000.0,68750.0,11.138232015528818
"Đường Số 14, Phường An Phú, Quận 2, Tp Hồ Chí Minh",2,1,48.5,1.0,1.0,1,1,1,1800000000.0,75000.0,11.225243392518449
"o5, Đường 17A, Phường Bình Trị Đông, Quận Bình Tân, Tp Hồ Chí Minh",13,2,53.0,2.0,1.0,1,1,2,1550000000.0,64583.0,11.07570649724384
"Đường Vườn Lài, Phường Thạnh Lộc, Quận 12, Tp Hồ Chí Minh",12,1,47.0,2.0,1.0,1,2,1,1300000000.0,54167.0,10.899827145911038
"Đường Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh",8,1,45.0,1.0,1.0,4,3,1,1720000000.0,71667.0,11.179785669593665
"16, Đường Nguyễn Đức Thuận, Phường 13, Quận Tân Bình, Tp Hồ Chí Minh",17,1,30.0,1.0,1.0,2,3,1,900000000.0,37500.0,10.532096211958502
"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh",9,1,45.0,1.0,1.0,1,3,1,1200000000.0,50000.0,10.819778284410283
"Đường 138, Phường Tân Phú, Quận 9, Tp Hồ Chí Minh",9,1,56.0,2.0,2.0,1,2,1,1300000000.0,54167.0,10.899827145911038
"Đường Mai Chí Thọ, Phường An Phú, Quận 2, Tp Hồ Chí Minh",2,1,28.0,1.0,1.0,4,1,1,1700000000.0,70833.0,11.168080272785073
"Phạm Thế Hiển, Phường 7, Quận 8, Tp Hồ Chí Minh",8,2,62.0,2.0,2.0,1,3,1,1677000000.0,69875.0,11.1544632104574
"Đường Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh",12,1,58.0,2.0,2.0,1,1,2,1550000000.0,64583.0,11.07570649724384
"01, Đường 34, Phường Bình Trị Đông B, Quận Bình Tân, Tp Hồ Chí Minh",13,1,56.0,2.0,1.0,1,2,2,1650000000.0,68750.0,11.138232015528818
"Đường Tôn Đức Thắng, Phường Bến Thành, Quận 1, Tp Hồ Chí Minh",1,2,62.0,1.0,1.0,1,2,3,200000000.0,8333.0,9.027978814382209
"Đường Nguyễn Văn Linh, Thị trấn Tân Túc, Huyện Bình Chánh, Tp Hồ Chí Minh",16,2,59.0,2.0,2.0,1,3,3,1900000000.0,79167.0,11.279314824306176
"C2.17, Chung cư Ehome 1, số 86, Đường Dương Đình Hội, Phường Phước Long B, Quận 9, Tp Hồ Chí Minh",9,1,60.0,2.0,2.0,1,1,1,1870000000.0,77917.0,11.26339943654854
"Đường Liên Phường, Phường Phú Hữu, Quận 9, Tp Hồ Chí Minh",9,1,50.0,2.0,1.0,1,1,1,1500000000.0,62500.0,11.042921835724492
"Đường Mai Chí Thọ, Phường Phú Hữu, Quận 9, Tp Hồ Chí Minh",9,1,55.0,1.0,1.0,1,2,1,1900000000.0,79167.0,11.279314824306176
"số 1A, số 1A Đường Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh",8,1,57.0,1.0,1.0,1,2,3,1870000000.0,77917.0,11.26339943654854
"Hồ Văn Long, Phường Tân Tạo, Quận Bình Tân, Tp Hồ Chí Minh",13,1,34.7,1.0,1.0,1,3,2,630000000.0,26250.0,10.17542126801977
"Tô Ký, Phường Trung Mỹ Tây, Quận 12, Tp Hồ Chí Minh",12,1,61.0,2.0,2.0,1,1,2,1850000000.0,77083.0,11.252638042372888
"Đường Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh",12,1,65.0,2.0,2.0,1,2,2,1780000000.0,74167.0,11.214074586292243
"793/16, Đường Trần Xuân Soạn, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh",7,1,32.0,1.0,1.0,3,3,3,1100000000.0,45833.0,10.732759634666934
"Đường Nguyễn Thị Định, Phường An Phú, Quận 2, Tp Hồ Chí Minh",2,2,101.2,3.0,2.0,1,3,3,1800000000.0,75000.0,11.225243392518449
"Đường Phạm Văn Bạch, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh",17,1,45.0,1.0,1.0,1,2,3,900000000.0,37500.0,10.532096211958502
"Đường Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh",8,1,45.0,1.0,1.0,4,2,1,1690000000.0,70417.0,11.162189990267915
"Đường Trịnh Quang Nghị, Phường 7, Quận 8, Tp Hồ Chí Minh",8,1,65.0,2.0,2.0,1,3,2,1593000000.0,66375.0,11.10307575854424
"117/80, Đường Hồ Văn Long, Phường Tân Tạo, Quận Bình Tân, Tp Hồ Chí Minh",13,1,34.0,1.0,1.0,1,3,2,640000000.0,26667.0,10.191182124909783
"đường N2 KCN Nam Tân Uyên, Bình Dương, Phường Linh Tây, Quận Thủ Đức, Tp Hồ Chí Minh",14,2,50.0,1.0,1.0,4,2,1,1175000000.0,48958.0,10.798718066678637
"Lô 5, Lô 5 Khu đô thị Vĩnh Lộc, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",13,1,63.0,2.0,2.0,1,2,1,1650000000.0,68750.0,11.138232015528818
"Phan Huy Ích, Phường Đông Hưng Thuận, Quận 12, Tp Hồ Chí Minh",12,1,40.0,1.0,1.0,2,1,2,950000000.0,39583.0,10.58615501214069
"Đường D4, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh",7,1,45.0,1.0,1.0,3,1,3,1900000000.0,79167.0,11.279314824306176
"Đường Cây Keo, Phường Tam Phú, Quận Thủ Đức, Tp Hồ Chí Minh",14,1,60.0,2.0,2.0,1,2,2,1600000000.0,66667.0,11.107465356849564
"75, Đường Tô Hiệu, Phường Hiệp Tân, Quận Tân Phú, Tp Hồ Chí Minh",19,1,53.0,2.0,1.0,1,2,2,1750000000.0,72917.0,11.197077086969871
"Phan Huy Ích, Phường Đông Hưng Thuận, Quận 12, Tp Hồ Chí Minh",12,1,40.0,1.0,1.0,2,1,2,950000000.0,39583.0,10.58615501214069
"Lô 5, Lô 5 Khu đô thị Vĩnh Lộc, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",13,1,63.0,2.0,2.0,1,2,1,1650000000.0,68750.0,11.138232015528818
"Đường 672, Phường Phước Long B, Quận 9, Tp Hồ Chí Minh",9,1,47.1,2.0,1.0,1,1,2,1250000000.0,52083.0,10.860593878910056
"Đường D6, Phường Bình Chiểu, Quận Thủ Đức, Tp Hồ Chí Minh",14,1,70.0,2.0,2.0,1,2,3,1990000000.0,82917.0,11.325595386445151
"Đường Hồ Học Lãm, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",13,1,64.0,2.0,2.0,1,1,1,1850000000.0,77083.0,11.252638042372888
"Xa lộ hà nội, Phường Tăng Nhơn Phú A, Quận 9, Tp Hồ Chí Minh",9,1,65.0,2.0,2.0,1,2,1,1400000000.0,58333.0,10.9739232499355
"Trương Vĩnh Ký, Phường Tân Sơn Nhì, Quận Tân Phú, Tp Hồ Chí Minh",19,1,38.0,1.0,1.0,1,1,2,1450000000.0,60417.0,11.009025801274973
"102, 102 Đường Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh",12,1,60.09,2.0,2.0,1,2,2,1850000000.0,77083.0,11.252638042372888
"Đường Hồ Học Lãm, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",13,1,50.0,1.0,1.0,1,1,3,1390000000.0,57917.0,10.96676623013805
"Đường Nguyễn Thị Định, Phường Cát Lái, Quận 2, Tp Hồ Chí Minh",2,1,60.0,2.0,2.0,1,2,3,1890000000.0,78750.0,11.27403355668788
"220, Đường Trần Hưng Đạo B, Phường 11, Quận 5, Tp Hồ Chí Minh",5,1,38.0,2.0,1.0,1,1,1,1600000000.0,66667.0,11.107465356849564
"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh",9,1,45.0,1.0,1.0,1,3,1,1200000000.0,50000.0,10.819778284410283
"Số 132, Số 132 Đường Bến Vân Đồn, Phường 6, Quận 4, Tp Hồ Chí Minh",4,1,65.0,2.0,2.0,1,1,2,1450000000.0,60417.0,11.009025801274973
"18/1, 18/1 Đường Nguyễn Thị Sóc, Xã Xuân Thới Đông, Huyện Hóc Môn, Tp Hồ Chí Minh",22,1,74.0,2.0,2.0,1,1,1,1580000000.0,65833.0,11.094876511351249
"Đường Cây Keo, Phường Tam Phú, Quận Thủ Đức, Tp Hồ Chí Minh",14,1,53.0,2.0,1.0,1,2,1,1560000000.0,65000.0,11.082142548877776
"16, Đường Nguyễn Đức Thuận, Phường 13, Quận Tân Bình, Tp Hồ Chí Minh",17,1,32.0,1.0,1.0,1,3,1,868000000.0,36167.0,10.495902379841931
"Đường An Dương Vương, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",13,1,74.0,2.0,2.0,1,1,1,1800000000.0,75000.0,11.225243392518449
"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh",9,1,45.0,1.0,1.0,1,3,1,1200000000.0,50000.0,10.819778284410283
"Đường Hồ Học Lãm, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",13,1,50.0,1.0,1.0,1,1,2,1395000000.0,58125.0,10.970351142889658
"số 1A, số 1A Đường Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh",8,1,57.0,1.0,1.0,1,2,1,1815000000.0,75625.0,11.233542195333143
"17-19-21, 17-19-21 Đường Nguyễn Văn Trỗi, Phường 12, Quận Phú Nhuận, Tp Hồ Chí Minh",21,1,106.0,3.0,2.0,1,1,2,1520000000.0,63333.0,11.056161799302767
"Đường Thăng Long, Phường 12, Quận Tân Bình, Tp Hồ Chí Minh",17,2,60.0,1.0,1.0,1,1,3,250000000.0,10417.0,9.251194365984448
"Độc Lập, Phường Tân Quý, Quận Tân Phú, Tp Hồ Chí Minh",19,1,59.0,2.0,1.0,1,1,2,1770000000.0,73750.0,11.208436274202066
"Đường Phan Huy Ích, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh",17,1,40.0,1.0,1.0,2,1,2,950000000.0,39583.0,10.58615501214069
"Lô 5, Lô 5 Khu đô thị Vĩnh Lộc, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",13,1,63.0,2.0,2.0,1,2,1,1650000000.0,68750.0,11.138232015528818
"Lô 5, Lô 5 Khu đô thị Vĩnh Lộc, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",13,1,68.0,2.0,2.0,1,2,1,1630000000.0,67917.0,11.126041650398417
"Đường Liên Phường, Phường Phú Hữu, Quận 9, Tp Hồ Chí Minh",9,1,50.0,2.0,1.0,1,1,1,1500000000.0,62500.0,11.042921835724492
"16, Đường Nguyễn Đức Thuận, Phường 13, Quận Tân Bình, Tp Hồ Chí Minh",17,1,30.0,1.0,1.0,2,3,1,885000000.0,36875.0,10.51528909364212
"Đường Phạm Thế Hiển, Phường 7, Quận 8, Tp Hồ Chí Minh",8,1,72.0,2.0,1.0,1,1,2,1630000000.0,67917.0,11.126041650398417
"114, Đường Số 5, Phường Bình Hưng Hòa, Quận Bình Tân, Tp Hồ Chí Minh",13,1,72.0,2.0,2.0,1,1,2,1850000000.0,77083.0,11.252638042372888
"Đường Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh",8,1,45.0,1.0,1.0,1,2,1,1700000000.0,70833.0,11.168080272785073
"số 1A, số 1A Đường Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh",8,1,50.0,1.0,1.0,1,2,2,1760000000.0,73333.0,11.202765991201511
"Đường Liên Phường, Phường Phú Hữu, Quận 9, Tp Hồ Chí Minh",9,1,50.0,2.0,1.0,1,1,1,1500000000.0,62500.0,11.042921835724492
"Đường Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh",15,1,86.0,2.0,2.0,1,1,2,1550000000.0,64583.0,11.07570649724384
"Hẻm 219, Hẻm 219 Đường số 5, Phường Bình Hưng Hòa, Quận Bình Tân, Tp Hồ Chí Minh",13,1,65.0,2.0,1.0,1,1,3,1780000000.0,74167.0,11.214074586292243
"Đường Kinh Dương Vương, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",13,1,58.0,2.0,1.0,1,3,1,1900000000.0,79167.0,11.279314824306176
"Lô 5, Lô 5 Khu đô thị Vĩnh Lộc, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",13,1,63.0,2.0,2.0,1,2,1,1650000000.0,68750.0,11.138232015528818
"Đường Liên Phường, Phường Phú Hữu, Quận 9, Tp Hồ Chí Minh",9,1,50.0,2.0,1.0,1,1,1,1500000000.0,62500.0,11.042921835724492
"Khu Đô Thị Vĩnh Lộc, Bình Hưng Hòa, Bình Tân, TpHCM, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",13,1,49.4,1.0,1.0,1,2,1,1350000000.0,56250.0,10.937561320066669
"Đường Hồ Học Lãm, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",13,1,50.0,1.0,1.0,1,1,2,1395000000.0,58125.0,10.970351142889658
"Đường Số 7, Phường Bình Trị Đông B, Quận Bình Tân, Tp Hồ Chí Minh",13,1,53.0,2.0,1.0,1,2,2,1650000000.0,68750.0,11.138232015528818
"Đường Nguyễn Văn Linh, Phường 7, Quận 8, Tp Hồ Chí Minh",8,2,57.0,2.0,2.0,1,3,2,1605000000.0,66875.0,11.110580484198309
"Đường Phan Huy Ích, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh",17,1,40.0,1.0,1.0,2,1,2,950000000.0,39583.0,10.58615501214069
"Đường 3/2, Phường 12, Quận 10, Tp Hồ Chí Minh",10,2,30.0,1.0,1.0,3,1,2,1500000000.0,62500.0,11.042921835724492
"159/21, 159/21 Đường 11, Phường Trường Thọ, Quận Thủ Đức, Tp Hồ Chí Minh",14,1,51.0,2.0,1.0,1,1,2,1850000000.0,77083.0,11.252638042372888
"Đường Xa lộ Đại Hàn, Phường Tam Bình, Quận Thủ Đức, Tp Hồ Chí Minh",14,1,50.0,2.0,2.0,1,1,2,1470000000.0,61250.0,11.022719128406973
"Số 4, Số 4 Đường Đào Trí, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh",7,2,53.2,1.0,1.0,1,2,3,1780000000.0,74167.0,11.214074586292243
"Đường Hồ Học Lãm, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",13,1,50.0,1.0,1.0,1,1,2,1395000000.0,58125.0,10.970351142889658
"Phan Huy Ích, Phường Đông Hưng Thuận, Quận 12, Tp Hồ Chí Minh",12,1,40.0,1.0,1.0,2,1,2,950000000.0,39583.0,10.58615501214069
"13E, Đường Nguyễn Văn Linh, Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh",16,2,55.0,2.0,2.0,1,2,3,1560000000.0,65000.0,11.082142548877776
"Đường Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh",12,1,58.0,2.0,2.0,1,1,1,1600000000.0,66667.0,11.107465356849564
"9A Đường Thạnh Xuân 13, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh",12,2,53.0,2.0,1.0,1,3,1,1800000000.0,75000.0,11.225243392518449
"Đường Phan Huy Ích, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh",17,1,40.0,1.0,1.0,2,1,2,950000000.0,39583.0,10.58615501214069
"Đường Hà Huy Giáp, Phường Thạnh Lộc, Quận 12, Tp Hồ Chí Minh",12,2,52.0,2.0,1.0,1,3,1,1280000000.0,53333.0,10.884310555528325
"Đường Hoàng Sa, Phường 13, Quận Phú Nhuận, Tp Hồ Chí Minh",21,2,30.0,1.0,1.0,3,1,2,1600000000.0,66667.0,11.107465356849564
"Đường Nguyễn Văn Linh, Phường 7, Quận 8, Tp Hồ Chí Minh",8,2,56.0,2.0,2.0,1,3,2,1553000000.0,64708.0,11.077640120449583
"Đường Phạm Văn Bạch, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh",17,1,45.0,1.0,1.0,1,2,3,900000000.0,37500.0,10.532096211958502
"Lô 5, Lô 5 Khu đô thị Vĩnh Lộc, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",13,1,63.0,2.0,2.0,1,2,1,1650000000.0,68750.0,11.138232015528818
"16, Đường Nguyễn Đức Thuận, Phường 13, Quận Tân Bình, Tp Hồ Chí Minh",17,1,36.0,1.0,1.0,2,3,1,850000000.0,35417.0,10.47494720983897
"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh",9,1,43.0,1.0,1.0,1,3,1,1820000000.0,75833.0,11.236288833090976
"Đường Nguyễn Đức Thuận, Phường 13, Quận Tân Bình, Tp Hồ Chí Minh",17,1,30.0,1.0,1.0,1,3,1,868000000.0,36167.0,10.495902379841931
"9A Đường Thạnh Xuân 13, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh",12,2,57.0,2.0,1.0,1,3,3,44000000.0,1833.0,7.513709247839705
"Đường Phan Văn Hớn, Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh",12,1,58.0,2.0,2.0,1,1,2,1670000000.0,69583.0,11.150275563614356
"Lô 5, Lô 5 Khu đô thị Vĩnh Lộc, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh",13,1,68.0,2.0,2.0,1,2,1,1630000000.0,67917.0,11.126041650398417
"(gần bùng binh Dân Chủ), Đường Cách Mạng Tháng Tám, Phường 5, Quận Tân Bình, Tp Hồ Chí Minh",17,2,30.0,1.0,1.0,3,1,2,1600000000.0,66667.0,11.107465356849564
"Đường Đoàn Văn Bơ, Phường 12, Quận 4, Tp Hồ Chí Minh",4,1,57.0,2.0,1.0,1,1,1,1850000000.0,77083.0,11.252638042372888
